H,condition,distance,layer,metric,sample_id
1,permutation_seed=23,11.458247931657102,conv2,wasserstein,0
0,permutation_seed=23,32.34010876715183,conv3,wasserstein,0
1,permutation_seed=23,12.186140694198139,conv3,wasserstein,0
0,permutation_seed=23,0.0,pooled,wasserstein,0
1,permutation_seed=23,0.0,pooled,wasserstein,0
0,permutation_seed=24,21.03704465952666,conv1,wasserstein,0
1,permutation_seed=24,9.553916312898018,conv1,wasserstein,0
0,permutation_seed=24,26.753827361097866,conv2,wasserstein,0
1,permutation_seed=24,16.09092940149736,conv2,wasserstein,0
0,permutation_seed=24,31.314769183872016,conv3,wasserstein,0
1,permutation_seed=24,9.885218442675423,conv3,wasserstein,0
0,permutation_seed=24,0.0,pooled,wasserstein,0
1,permutation_seed=24,0.0,pooled,wasserstein,0
0,permutation_seed=25,8.9553612561971,conv1,wasserstein,0
1,permutation_seed=25,9.142092733038405,conv1,wasserstein,0
0,permutation_seed=25,12.455894610276435,conv2,wasserstein,0
1,permutation_seed=25,11.300596742986722,conv2,wasserstein,0
0,permutation_seed=25,45.62017354599563,conv3,wasserstein,0
1,permutation_seed=25,9.787201175405304,conv3,wasserstein,0
0,permutation_seed=25,0.0,pooled,wasserstein,0
1,permutation_seed=25,0.0,pooled,wasserstein,0
0,permutation_seed=26,10.836192041635513,conv1,wasserstein,0
1,permutation_seed=26,9.724626821077653,conv1,wasserstein,0
0,permutation_seed=26,22.196813970122776,conv2,wasserstein,0
1,permutation_seed=26,15.015257405955328,conv2,wasserstein,0
0,permutation_seed=26,26.35043659478683,conv3,wasserstein,0
1,permutation_seed=26,10.762024997069567,conv3,wasserstein,0
0,permutation_seed=26,0.0,pooled,wasserstein,0
1,permutation_seed=26,0.0,pooled,wasserstein,0
0,permutation_seed=27,11.68165259808302,conv1,wasserstein,0
1,permutation_seed=27,9.677201660538657,conv1,wasserstein,0
0,permutation_seed=27,20.127702474854342,conv2,wasserstein,0
1,permutation_seed=27,14.001669068354548,conv2,wasserstein,0
0,permutation_seed=27,35.35806496362883,conv3,wasserstein,0
1,permutation_seed=27,10.182243769202625,conv3,wasserstein,0
0,permutation_seed=27,0.0,pooled,wasserstein,0
1,permutation_seed=27,0.0,pooled,wasserstein,0
