betti,condition,count,layer,max_persistence,mean_persistence,sample_id,total_persistence
H0,adv_linf_eps=0.4,0.0,pooled,0.0,0.0,4,0.0
H1,adv_linf_eps=0.4,0.0,pooled,0.0,0.0,4,0.0
H0,adv_l2_eps=0.2,199.0,input,0.849107027053833,0.4164765294472776,4,82.87882936000824
H1,adv_l2_eps=0.2,76.0,input,1.1887443661689758,0.17645486522662013,4,13.41056975722313
H0,adv_l2_eps=0.2,199.0,fc1,1.4202488660812378,0.6152828499000875,4,122.44128713011742
H1,adv_l2_eps=0.2,75.0,fc1,1.2220128774642944,0.23382071256637574,4,17.53655344247818
H0,adv_l2_eps=0.2,199.0,fc2,1.927334189414978,0.8278188399933092,4,164.73594915866852
H1,adv_l2_eps=0.2,68.0,fc2,1.8901646137237549,0.34131379688487334,4,23.209338188171387
H0,adv_l2_eps=0.2,199.0,fc3,3.545588254928589,1.2789990819578794,4,254.520817309618
H1,adv_l2_eps=0.2,64.0,fc3,1.7744853496551514,0.44974503945559263,4,28.78368252515793
H0,adv_l2_eps=0.2,0.0,pooled,0.0,0.0,4,0.0
H1,adv_l2_eps=0.2,0.0,pooled,0.0,0.0,4,0.0
H0,adv_l2_eps=0.4,199.0,input,0.849107027053833,0.4164765294472776,4,82.87882936000824
H1,adv_l2_eps=0.4,76.0,input,1.1887443661689758,0.17645486522662013,4,13.41056975722313
H0,adv_l2_eps=0.4,199.0,fc1,1.4202488660812378,0.6152828499000875,4,122.44128713011742
H1,adv_l2_eps=0.4,75.0,fc1,1.2220128774642944,0.23382071256637574,4,17.53655344247818
H0,adv_l2_eps=0.4,199.0,fc2,1.927334189414978,0.8278188399933092,4,164.73594915866852
H1,adv_l2_eps=0.4,68.0,fc2,1.8901646137237549,0.34131379688487334,4,23.209338188171387
H0,adv_l2_eps=0.4,199.0,fc3,3.545588254928589,1.2789990819578794,4,254.520817309618
H1,adv_l2_eps=0.4,64.0,fc3,1.7744853496551514,0.44974503945559263,4,28.78368252515793
H0,adv_l2_eps=0.4,0.0,pooled,0.0,0.0,4,0.0
H1,adv_l2_eps=0.4,0.0,pooled,0.0,0.0,4,0.0
H0,adv_linf_eps=0.2,199.0,input,0.9151276350021362,0.4297064653218691,5,85.51158659905195
H1,adv_linf_eps=0.2,86.0,input,1.2438223958015442,0.16787178606487985,5,14.436973601579666
H0,adv_linf_eps=0.2,199.0,fc1,1.2990641593933105,0.6319621073540731,5,125.76045936346054
H1,adv_linf_eps=0.2,78.0,fc1,1.1855660676956177,0.2190694694335644,5,17.087418615818024
H0,adv_linf_eps=0.2,199.0,fc2,2.0095670223236084,0.8285046884761983,5,164.87243300676346
H1,adv_linf_eps=0.2,72.0,fc2,1.3977547883987427,0.303723216884666,5,21.868071615695953
H0,adv_linf_eps=0.2,199.0,fc3,3.1159253120422363,1.298564712006842,5,258.4143776893616
H1,adv_linf_eps=0.2,59.0,fc3,2.0398666858673096,0.5513065932160717,5,32.52708899974823
H0,adv_linf_eps=0.2,0.0,pooled,0.0,0.0,5,0.0
H1,adv_linf_eps=0.2,0.0,pooled,0.0,0.0,5,0.0
H0,adv_linf_eps=0.4,199.0,input,0.9151276350021362,0.4297064653218691,5,85.51158659905195
H1,adv_linf_eps=0.4,86.0,input,1.2438223958015442,0.16787178606487985,5,14.436973601579666
H0,adv_linf_eps=0.4,199.0,fc1,1.2990641593933105,0.6319621073540731,5,125.76045936346054
H1,adv_linf_eps=0.4,78.0,fc1,1.1855660676956177,0.2190694694335644,5,17.087418615818024
H0,adv_linf_eps=0.4,199.0,fc2,2.0095670223236084,0.8285046884761983,5,164.87243300676346
