H,condition,distance,layer,metric,sample_id
0,permutation_seed=22,10.750542618334293,fc1,wasserstein,0
1,permutation_seed=22,7.917140372107225,fc1,wasserstein,0
0,permutation_seed=22,21.47065013307561,fc2,wasserstein,0
1,permutation_seed=22,13.812220288692075,fc2,wasserstein,0
0,permutation_seed=22,31.882548078894615,fc3,wasserstein,0
1,permutation_seed=22,14.335941889336484,fc3,wasserstein,0
0,permutation_seed=22,0.0,pooled,wasserstein,0
1,permutation_seed=22,0.0,pooled,wasserstein,0
0,permutation_seed=23,6.762269608676434,fc1,wasserstein,0
1,permutation_seed=23,7.921306480430276,fc1,wasserstein,0
0,permutation_seed=23,11.051618851721287,fc2,wasserstein,0
1,permutation_seed=23,11.416068807307312,fc2,wasserstein,0
0,permutation_seed=23,32.45154935866594,fc3,wasserstein,0
1,permutation_seed=23,12.31543131192541,fc3,wasserstein,0
0,permutation_seed=23,0.0,pooled,wasserstein,0
1,permutation_seed=23,0.0,pooled,wasserstein,0
0,permutation_seed=24,21.035727623366977,fc1,wasserstein,0
1,permutation_seed=24,9.552869327235793,fc1,wasserstein,0
0,permutation_seed=24,26.745085748442648,fc2,wasserstein,0
1,permutation_seed=24,16.095577309508574,fc2,wasserstein,0
0,permutation_seed=24,32.20442634400056,fc3,wasserstein,0
1,permutation_seed=24,10.044959212338982,fc3,wasserstein,0
0,permutation_seed=24,0.0,pooled,wasserstein,0
1,permutation_seed=24,0.0,pooled,wasserstein,0
0,permutation_seed=25,8.959871941419003,fc1,wasserstein,0
1,permutation_seed=25,9.140967142007916,fc1,wasserstein,0
0,permutation_seed=25,12.492989931105853,fc2,wasserstein,0
1,permutation_seed=25,11.297377102542631,fc2,wasserstein,0
0,permutation_seed=25,45.54162528101982,fc3,wasserstein,0
1,permutation_seed=25,9.832381253489922,fc3,wasserstein,0
0,permutation_seed=25,0.0,pooled,wasserstein,0
1,permutation_seed=25,0.0,pooled,wasserstein,0
0,permutation_seed=26,10.82914026081562,fc1,wasserstein,0
1,permutation_seed=26,9.721152719278813,fc1,wasserstein,0
0,permutation_seed=26,22.192222392589127,fc2,wasserstein,0
1,permutation_seed=26,15.028904573962791,fc2,wasserstein,0
0,permutation_seed=26,26.79117567771588,fc3,wasserstein,0
1,permutation_seed=26,10.634070791787074,fc3,wasserstein,0
0,permutation_seed=26,0.0,pooled,wasserstein,0
1,permutation_seed=26,0.0,pooled,wasserstein,0
0,permutation_seed=27,11.676868632435799,fc1,wasserstein,0
1,permutation_seed=27,9.674611665716911,fc1,wasserstein,0
0,permutation_seed=27,20.09568727838452,fc2,wasserstein,0
1,permutation_seed=27,14.00459854538831,fc2,wasserstein,0
0,permutation_seed=27,35.43662700734115,fc3,wasserstein,0
1,permutation_seed=27,10.021651557238986,fc3,wasserstein,0
0,permutation_seed=27,0.0,pooled,wasserstein,0
1,permutation_seed=27,0.0,pooled,wasserstein,0
0,permutation_seed=28,9.954879825265023,fc1,wasserstein,0
1,permutation_seed=28,14.997716972758576,fc1,wasserstein,0
0,permutation_seed=28,18.906361006200314,fc2,wasserstein,0
1,permutation_seed=28,14.137591729982791,fc2,wasserstein,0
0,permutation_seed=28,31.5803179161763,fc3,wasserstein,0
1,permutation_seed=28,9.818244737648673,fc3,wasserstein,0
0,permutation_seed=28,0.0,pooled,wasserstein,0
1,permutation_seed=28,0.0,pooled,wasserstein,0
0,permutation_seed=29,10.147322416305542,fc1,wasserstein,0
1,permutation_seed=29,8.578742666093309,fc1,wasserstein,0
0,permutation_seed=29,11.063538387417793,fc2,wasserstein,0
1,permutation_seed=29,12.275148561215317,fc2,wasserstein,0
